fromData,toDate,queryType,key,name,optimisedDate,totalConsumption
2018-08-22T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425386,Seaford Dane Rd,2018-08-22,37123.88
2018-09-07T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425215,Shefford,2018-09-07,19311.03
2018-09-19T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425193,Shrewsbury Whitchurch Road,2018-09-19,60692.29
2018-07-26T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425225,Sidcup Westwood Lane,2018-07-26,210057.64
2018-08-14T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425308,St Albans Hatfield Rd,2018-08-14,88965.64
2018-10-09T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425304,Stranraer London Rd,2018-10-09,29172.19
2018-07-28T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425318,Strood,2018-07-28,124970.66
2018-07-30T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425422,Sutton Cheam Road,2018-07-30,49278.71
2018-10-14T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425274,Tavistock Plymouth Rd,2018-10-14,7719.83
2018-10-10T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425286,Totnes Coronation Rd,2018-10-10,8958.67
2018-10-11T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425312,Troon Academy St,2018-10-11,5417.70
2018-10-09T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425275,Tynemouth Preston Grange,2018-10-09,41568.77
2018-09-07T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425327,Verwood - Verwood Centre,2018-09-07,93083.28
2018-10-09T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425263,Wakefield Dewsbury Road,2018-10-09,45141.61
2018-09-24T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425265,Walsall Lichfield St,2018-09-24,51384.66
2018-09-22T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425306,Wellingborough Oxford Street,2018-09-22,114235.28
2018-09-21T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425431,Welshpool Berriew St,2018-09-21,0.00
2018-09-20T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425296,Westbury,2018-09-20,19998.27
2018-06-14T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425281,West Kirby,2018-06-14,61699.34
2018-10-01T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425270,Weymouth Dorchester Rd,2018-10-01,19993.90
2018-09-27T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425326,Willenhall,2018-09-27,58889.48
2018-09-03T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425282,Winsford Wharton,2018-09-03,133202.05
2018-08-08T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425329,Wisbech,2018-08-08,150183.33
2018-08-24T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425280,Witham Braintree Rd,2018-08-24,27377.51
2018-09-25T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425271,Wokingham Woosehill,2018-09-25,19001.22
2018-09-28T00%3A00%3A00,2018-10-21T00%3A00%3A00,GAS,425335,Yate Station Rd,2018-09-28,21558.57
